date,Mom
200001,1.86
200002,18.02
200003,-6.85
200004,-8.6
200005,-8.99
200006,16.63
200007,-0.16
200008,5.59
200009,1.89
200010,-4.56
200011,-2.17
200012,6.59
200101,-25.35
200102,12.6
200103,8.65
200104,-8.01
200105,2.15
200106,0.62
200107,5.48
200108,5.46
200109,11.38
200110,-8.32
200111,-8.61
200112,0.02
200201,3.65
200202,6.83
200203,-1.69
200204,7.7
200205,3.09
200206,6.24
200207,3.63
200208,1.87
200209,9.18
200210,-5.58
200211,-16.43
200212,9.72
200301,1.59
200302,1.21
200303,1.4
200304,-9.35
200305,-10.75
200306,-1.23
200307,-0.3
200308,-0.53
200309,-0.07
200310,4.01
200311,1.36
200312,-5.54
200401,2.57
200402,-1.17
200403,0.19
200404,-5.34
200405,1.49
200406,2.08
200407,-2.24
200408,-1.55
200409,5.48
200410,-1.43
200411,3.08
200412,-2.85
200501,2.96
200502,3.43
200503,0.43
200504,-0.68
200505,0.37
200506,2.07
200507,0.03
200508,2.07
200509,3.46
200510,-1.19
200511,0.34
200512,0.78
200601,2.52
200602,-1.78
200603,1.26
200604,0.6
200605,-3.66
200606,1.55
200607,-2.04
200608,-3.36
200609,-0.98
200610,-0.25
200611,-1.04
200612,0.79
200701,0.17
200702,-1.29
200703,2.58
200704,-0.16
200705,-0.33
200706,0.52
200707,2.84
200708,-0.03
200709,4.43
200710,5.03
200711,1.12
200712,6.56
200801,-7.74
200802,6.13
200803,4.25
200804,-0.33
200805,3.39
200806,12.71
200807,-5.02
200808,-4.48
200809,0.86
200810,7.87
200811,7.28
200812,-5.09
200901,-2.36
200902,4.36
200903,-11.83
200904,-34.34
200905,-12.53
200906,5.45
200907,-5.54
200908,-9.1
200909,-4.87
200910,2.49
200911,0.39
200912,3
201001,-5.33
201002,3.69
201003,3.57
201004,3.16
201005,-0.2
201006,-2.7
201007,1.78
201008,0.04
201009,1.38
201010,1.46
201011,2.73
201012,-3
201101,-0.3
201102,1.88
201103,3.45
201104,0.05
201105,-0.6
201106,1.82
201107,0.2
201108,-0.27
201109,-2.4
201110,-1.4
201111,3.88
201112,1.83
201201,-8.01
201202,-0.26
201203,1.31
201204,3.72
201205,6.44
201206,-1.1
201207,3
201208,-2.35
201209,-1.13
201210,0.05
201211,0.53
201212,-2.93
201301,-1.82
201302,1.23
201303,1.92
201304,0.22
201305,-2.01
201306,0.43
201307,1.74
201308,0.04
201309,3.02
201310,0.02
201311,0.39
201312,0.02
201401,1.61
201402,2.13
201403,-3.27
201404,-3.82
201405,0.89
201406,0.65
201407,-0.17
201408,0.83
201409,0.6
201410,-0.21
201411,0.69
201412,1.03
201501,3.74
201502,-3.1
201503,2.7
201504,-7.27
201505,5.68
201506,3.01
201507,9.97
201508,-2.16
201509,5.24
201510,-3.19
201511,2.29
201512,3.34
201601,1.6
201602,-4.35
201603,-5.04
201604,-5.98
201605,1.47
201606,4.2
201607,-3.31
201608,-3.41
201609,0.26
201610,0.51
201611,-4.77
201612,-0.27
201701,-0.93
201702,-1.51
201703,-0.97
201704,0.48
201705,1.5
201706,-0.1
201707,1.63
201708,3.31
201709,-1.35
201710,4.21
201711,-0.94
201712,-1.55
201801,4.08
201802,3.68
201803,-1.2
201804,0.45
201805,3.91
201806,-2.26
201807,-1.43
201808,5.3
201809,-0.08
201810,-2.06
201811,-1.4
201812,1.76
201901,-8.62
201902,0.5
201903,2.24
201904,-2.91
201905,7.55
201906,-2.24
201907,2.92
201908,7.51
201909,-6.74
201910,0.13
201911,-2.54
201912,-2.22
202001,6.02
202002,-0.28
202003,8.21
202004,-5.48
202005,0.16
202006,-0.83
202007,7.71
202008,0.46
202009,3.19
202010,-3.14
202011,-12.55
202012,-2.37
202101,4.31
202102,-7.9
202103,-6.11
202104,1.23
202105,0.56
202106,2.07
202107,-2.18
202108,2.63
202109,1.39
202110,3.32
202111,0.96
202112,-2.39
202201,-2.42
202202,1.66
202203,2.94
202204,5
202205,2.54
202206,1.09
202207,-4.36
202208,1.85
202209,3.67
202210,3.9
202211,-1.7
202212,4.91
202301,-16.17
202302,0.55
202303,-2.35
202304,1.76
202305,-0.88
202306,-2.69
202307,-4.06
202308,3.78
202309,0.33
202310,1.67
202311,2.56
202312,-5.53
202401,5.42
202402,4.9
202403,-0.32
202404,-0.43
202405,-0.16
202406,0.85
202407,-2.35
202408,4.81
202409,-0.62
202410,3
202411,1
